nome,cnpj,produto,data,preco,bandeira
DUARTE & SANTOS LTDA,22960942000154,ETANOL,10/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
DUARTE & SANTOS LTDA,22960942000235,ETANOL,10/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
IRMAOS TEIXEIRA LTDA,04976718000330,ETANOL,10/02/2020,"4,179",IPIRANGA
M M AUTO POSTO LTDA,04566961000119,ETANOL,10/02/2020,"3,799",SABBÁ
POSTO EXEMPLO COMERCIO LTDA,06164013000182,ETANOL,10/02/2020,"3,999",IPIRANGA
POSTO EXEMPLO COMERCIO LTDA,06164013000263,ETANOL,10/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
POSTO INVENCIVEL LTDA,04901294000183,ETANOL,10/02/2020,"3,929",PETROBRAS DISTRIBUIDORA S.A.
POSTO PIT STOP DUQUE LTDA,24902119000118,ETANOL,10/02/2020,"3,889",PETROBRAS DISTRIBUIDORA S.A.
POSTO TEXAS LTDA,34635144000136,ETANOL,10/02/2020,"3,77",BRANCA
SUPER POSTO TRIANGULO LTDA,03160149000126,ETANOL,10/02/2020,"4,009",IPIRANGA
SUPERCENTRO POSTOS DE SERVIÇO LTDA,05303828000132,ETANOL,10/02/2020,"3,899",SABBÁ
IRMAOS TEIXEIRA LTDA,04976718001221,ETANOL,11/02/2020,"4,179",IPIRANGA
J CARLOS SILVA COMERCIO EIRELI - EPP,00590313000147,ETANOL,11/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
NORTE REVENDEDORA LIMITADA,04657250000150,ETANOL,11/02/2020,"4,099",SABBÁ
AUTO POSTO GK EIRELI,07909407000185,ETANOL,20/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
DUARTE & SANTOS LTDA,22960942000154,ETANOL,20/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
DUARTE & SANTOS LTDA,22960942000235,ETANOL,20/02/2020,"3,89",PETROBRAS DISTRIBUIDORA S.A.
IRMAOS TEIXEIRA LTDA,04976718001221,ETANOL,20/02/2020,"4,229",IPIRANGA
M M AUTO POSTO LTDA,04566961000119,ETANOL,20/02/2020,"3,859",SABBÁ
MIRANDA COSTA & CIA LTDA,04932000000180,ETANOL,20/02/2020,"3,999",IPIRANGA
NORTE REVENDEDORA LIMITADA,04657250000150,ETANOL,20/02/2020,"4,099",SABBÁ
POSTO EXEMPLO COMERCIO LTDA,06164013000182,ETANOL,20/02/2020,"4,099",IPIRANGA
POSTO EXEMPLO COMERCIO LTDA,06164013000263,ETANOL,20/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
POSTO INVENCIVEL LTDA,04901294000183,ETANOL,20/02/2020,"3,929",PETROBRAS DISTRIBUIDORA S.A.
POSTO PIT STOP DUQUE LTDA,24902119000118,ETANOL,20/02/2020,"3,889",PETROBRAS DISTRIBUIDORA S.A.
SUPER POSTO TRIANGULO LTDA,03160149000126,ETANOL,20/02/2020,"4,009",IPIRANGA
SUPERCENTRO POSTOS DE SERVIÇO LTDA,05303828000132,ETANOL,20/02/2020,"3,999",SABBÁ
IRMAOS TEIXEIRA LTDA,04976718000330,ETANOL,24/02/2020,"4,229",IPIRANGA
IRMAOS TEIXEIRA LTDA,04976718000845,ETANOL,24/02/2020,"4,229",IPIRANGA
IRMAOS TEIXEIRA LTDA,04976718001221,ETANOL,24/02/2020,"4,229",IPIRANGA
IRMAOS TEIXEIRA LTDA,04976718001302,ETANOL,24/02/2020,"4,229",IPIRANGA
POSTO ALIANCA EIRELI,14685994000131,ETANOL,24/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
POSTO DE GASOLINA PIT STOP LTDA.,07864785000270,ETANOL,24/02/2020,"3,999",IPIRANGA
POSTO EXEMPLO COMERCIO LTDA,06164013000263,ETANOL,24/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
