nome,cnpj,produto,data,preco,bandeira
RIOJA COMERCIO DE PETROLEO LTDA,04556651000113,ETANOL,24/02/2020,"3,499",TDC DISTRIBUIDORA
POSTO MANIA LTDA,04559055000197,GASOLINA,17/02/2020,"4,659",PETROBRAS DISTRIBUIDORA S.A.
POSTO RAVANELLO LTDA,04563781000183,GASOLINA,25/02/2020,"4,698",IPIRANGA
GDA PETROLEO LTDA,04564225000121,GASOLINA,04/02/2020,"4,799",IPIRANGA
AUTO POSTO MILANO - RIO CLARO LTDA,04566131000191,ETANOL,28/02/2020,"2,999",IPIRANGA
M M AUTO POSTO LTDA,04566961000119,GASOLINA,20/02/2020,"4,499",SABBÁ
RODA DE OURO COMÉRCIO DE COMBUSTÍVEIS LTDA,04567163000101,ETANOL,28/02/2020,"3,54",PETROBRAS DISTRIBUIDORA S.A.
TEMPUS SERVICOS AUTOMOTIVOS LTDA,04574236000192,GASOLINA,13/02/2020,"4,099",BRANCA
EMPRESA DE COMBUSTIVEIS SAO CRISTOVAO LTDA,04575419000122,GASOLINA,18/02/2020,"4,84",SP
AUTO POSTO PETROVEIGA LTDA,04575823000104,GASOLINA,25/02/2020,"4,279",BRANCA
PORTAL DE POÁ AUTO POSTO LTDA,04576763000136,ETANOL,24/02/2020,"2,999",BRANCA
POSTO DE SERVICOS MURAO LTDA,04576828000143,ETANOL,28/02/2020,"4,59",PETROBRAS DISTRIBUIDORA S.A.
POSTO JOSE DE SOUZA CAMPOS LTDA,04582424000162,GASOLINA,17/02/2020,"4,399",IPIRANGA
POSTO QUALITY CASABLANCA LTDA,04583463000184,GASOLINA,19/02/2020,"4,399",RAIZEN
AUTO POSTO PRIMEIRAO DO LARANJAL LTDA,04584261000157,GASOLINA,20/02/2020,"5,099",BRANCA
VALDEMAR SILVA PORTO,04585269000138,GASOLINA,05/02/2020,"4,889",RAIZEN
POSTO RESTAURANTE E LANCHONETE FR BRANCO LTDA,04587577000100,ETANOL,25/02/2020,"4,299",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO FORMOSA LTDA,04587615000117,ETANOL,26/02/2020,"3,299",PETROBRAS DISTRIBUIDORA S.A.
